"data_Persona","data_productividad_per","data_Tcamp","data_sumCOD","data_sumHRSLB","data_GRADO2","data_sum_variedad_total_AL","data_sum_variedad_total_CC","data_sum_variedad_total_CP","data_sum_variedad_total_JS","data_sum_variedad_total_MG","data_sum_variedad_total_RG","data_sum_variedad_total_SG","data_sum_variedad_total_TC","data_sum_variedad_total_TM","data_sum_variedad_total_VN","data_sum_aux_bono_total","data_sum_hora_extra","data_n_lote","data_n_fundo","data_T_RangoEdad","data_Testado_civil","data_Tsexo","data_T_numero_hijos","data_dias_empresa","data_Tedad","data_numero_hijos","data_pobreza","data_n_variedad","data_veces","data_DEUDA_PROM_U6M","data_PEOR_CALIF_U6M","data_MODA_CALIF_U6M","data_NRO_ENT_PROM_U6M","data_TIPCRE_UM","data_DIAS_ATRASO_PROM_U6M","data_BANCARIZADO","data_distancia","data_import_unico","data_total","data_bono_produc","data_otros_bono","dummies_Tsexo_Mujer","sede_cod","data_numero_asistentes","data_asistente_mediana_Tedad","data_asistente_mediana_numero_hijos","data_asistente_dias_empresa","cluster"
88614,37.7307692307692,20,981,26,"SECUNDARIA COMPLETA",0,45.21,0,0,0,0,0,0,113.58,0,41.12,0,3,2,"MENOR A 30","Soltero(a)","Mujer","sin hijos",308,26,0,44.55,2,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,0,13.3415888721868,117.67,158.79,41.12,0,1,"Ica",2,35.5,1,942.5,4
88615,45.0384615384615,20,1171,26,NA,0,44.01,0,0,0,0,0,0,130.46,0,56.8,0,3,2,"MENOR A 30","Soltero(a)","Hombre","sin hijos",308,21,0,44.55,2,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,NA,117.67,174.47,56.8,0,0,"Ica",2,35.5,1,942.5,4
88616,48.8450704225352,20,1734,35.5,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,0,0,0,239.68,0,79.06,0,2,1,"DE 31 A 50","Soltero(a)","Hombre","sin hijos",308,34,0,44.55,1,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,13.3415888721868,160.62,239.68,79.06,0,0,"Ica",1,36,1,967,4
88617,44.5714285714286,20,156,3.5,"SECUNDARIA COMPLETA",0,0,0,0,0,0,0,0,18.36,0,2.48,0,1,1,"DE 31 A 50","Soltero(a)","Hombre","con hijos",308,32,1,44.55,1,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,29.5882907462825,15.88,18.36,2.48,0,0,"Ica",1,36,1,967,4
88618,31.2699619771863,20,4112,131.5,"SECUNDARIA IMCOMPLETA",0,560.93,0,0,0,0,0,0,296.33,0,262.62,0,5,3,"MENOR A 30","Soltero(a)","Mujer","sin hijos",308,25,0,44.55,2,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,0,13.3415888721868,594.64,857.26,262.62,0,1,"Ica",5,36,1,NA,2
88619,19.3333333333333,20,116,6,"SECUNDARIA COMPLETA",0,0,0,0,0,0,0,0,27.16,0,0,0,1,1,"DE 31 A 50","Soltero(a)","Hombre","sin hijos",308,34,0,46.65,1,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,6.05239151999867,27.16,27.16,0,0,0,"Ica",1,41,3,1382,4
88620,81.84,20,2046,25,"SECUNDARIA IMCOMPLETA",0,24.96,0,0,0,0,0,0,234,0,145.88,0,4,3,"MENOR A 30","Soltero(a)","Hombre","sin hijos",308,28,0,13.1,2,1,3272.18,"1.CPP","0.NORMAL",1,"CONSUMO NO REVOLVENTE",4,1,6.05239151999867,113.08,258.96,145.88,0,0,"Ica",4,38.5,2,NA,4
88621,27.6638655462185,20,1646,59.5,"PRIMARIA COMPLETA",0,0,0,0,0,38.51,0,0,247.93,0,17.46,0,4,3,"DE 31 A 50","Soltero(a)","Hombre","con hijos",308,34,2,13.1,2,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,254.660750956176,268.98,286.44,17.46,0,0,"Ica",5,37,1,NA,4
88623,35.1428571428571,20,123,3.5,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,0,0,0,15.91,0,0.03,0,1,1,"MENOR A 30","Soltero(a)","Hombre","sin hijos",308,26,0,46.65,1,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,0,545.562160700252,15.88,15.91,0.03,0,0,"Ica",1,41,3,1382,4
88624,34.2857142857143,20,120,3.5,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,0,0,0,15.88,0,0,0,1,1,"MENOR A 30","Soltero(a)","Hombre","sin hijos",308,29,0,13.1,1,1,3.51,"4.EN PERDIDA","4.EN PERDIDA",1,NA,0,1,1178.76340038879,15.88,15.88,0,0,0,"Ica",1,41,3,1382,4
88625,40,20,140,3.5,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,0,0,0,17.08,0,1.2,0,1,1,"MENOR A 30","Soltero(a)","Hombre","sin hijos",308,29,0,13.1,1,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,271.973312619505,15.88,17.08,1.2,0,0,"Ica",1,41,3,1382,4
88626,48.7826086956522,20,561,11.5,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,0,0,0,70.11,0,18.18,0,1,1,"MENOR A 30","Soltero(a)","Mujer","sin hijos",308,30,0,46.65,1,1,1254.18,"1.CPP","0.NORMAL",1.67,"MICROEMPRESAS",2.6,1,5.92314046776367,51.93,70.11,18.18,0,1,"Ica",1,41,3,1382,4
88627,73.8811881188119,20,3731,50.5,"SECUNDARIA COMPLETA",192.25,0,0,0,79.46,0,0,0,315.27,0,358.71,0,5,4,"DE 31 A 50","Soltero(a)","Mujer","sin hijos",308,40,0,13.1,3,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,53.1848218877654,228.27,586.98,358.71,0,1,"Ica",4,39,0.5,NA,4
88628,71.5652173913043,20,823,11.5,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,0,0,0,94.84,0,42.83,0,1,1,"MENOR A 30","Soltero(a)","Hombre","sin hijos",308,26,0,13.1,1,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,6.05239151999867,52.01,94.84,42.83,0,0,"Ica",1,41,3,1382,4
88629,86.4102564102564,20,1685,19.5,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,0,0,0,216.98,0,128.79,0,2,1,"MENOR A 30","Soltero(a)","Mujer","sin hijos",308,25,0,45.9,1,1,988.88,"0.NORMAL","0.NORMAL",1.83,"CONSUMO NO REVOLVENTE",0,1,4.79582369048168,88.19,216.98,128.79,0,1,"Ica",2,39,2,NA,4
88634,58.2307692307692,20,757,13,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,0,0,0,97.48,0,38.77,0,2,1,"MENOR A 30","Soltero(a)","Mujer","con hijos",307,27,1,13.1,1,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,89.6231869066258,58.71,97.48,38.77,0,1,"Ica",1,33,2,752,4
88635,105.911764705882,20,3601,34,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,0,0,0,485.98,0,332.25,0,3,2,"DE 31 A 50","Soltero(a)","Mujer","con hijos",307,33,1,46.65,1,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,73.5071061324726,153.73,485.98,332.25,0,1,"Ica",4,36.5,1,NA,4
88636,74.3299663299663,20,11038,148.5,"SECUNDARIA IMCOMPLETA",464.03,0,0,0,69.36,671.05,0,0,361.98,0,894.88,0,10,6,"DE 31 A 50","Soltero(a)","Hombre","sin hijos",307,33,0,13.1,4,1,NA,"4.EN PERDIDA","4.EN PERDIDA",NA,NA,NA,1,255.650796785851,671.54,1566.42,894.88,0,0,"Ica",7,37,0,1108,2
88637,76.732782369146,20,13927,181.5,"SECUNDARIA COMPLETA",318.61,0,0,0,53.44,502.42,0,0,1116.73,0,1161.74,49.26,11,6,"MENOR A 30","Soltero(a)","Mujer","con hijos",307,30,1,13.1,4,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,6.05239151999867,780.2,1991.2,1161.74,0,1,"Ica",11,37,0,1113,2
88638,50.9230769230769,20,662,13,"SECUNDARIA COMPLETA",0,0,0,0,0,0,0,0,86.64,0,27.93,0,2,1,"DE 31 A 50","Soltero(a)","Mujer","sin hijos",307,35,0,46.65,1,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,0,9.86881720854759,58.71,86.64,27.93,0,1,"Ica",1,31,1,773,4
88639,55.3076923076923,20,719,13,"SECUNDARIA COMPLETA",0,0,0,0,0,0,0,0,92.58,0,33.88,0,2,1,"DE 31 A 50","Soltero(a)","Hombre","sin hijos",307,33,0,46.65,1,1,31736.66,"0.NORMAL","0.NORMAL",1,"CONSUMO NO REVOLVENTE",0,1,9.86881720854759,58.7,92.58,33.88,0,0,"Ica",1,31,1,773,4
88640,63.8,20,319,5,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,0,0,0,36.9,0,14.23,0,1,1,"MENOR A 30","Soltero(a)","Hombre","sin hijos",307,25,0,13.1,1,1,NA,"4.EN PERDIDA","4.EN PERDIDA",NA,NA,NA,1,6.20121397573128,22.67,36.9,14.23,0,0,"Ica",1,33,2,752,4
88641,34.1351351351351,20,1263,37,NA,0,0,0,0,0,38.08,0,0,138.03,0,8.88,0,3,2,"MENOR A 30","Soltero(a)","Hombre","sin hijos",307,23,0,13.1,2,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,0,NA,167.23,176.11,8.88,0,0,"Ica",4,32.5,0,1015,4
88642,97.0754716981132,20,5145,53,NA,0,0,0,0,0,170.91,0,0,471.99,0,403.42,0,4,3,"MENOR A 30","Soltero(a)","Hombre","con hijos",307,20,1,45.9,2,1,805,"0.NORMAL","0.NORMAL",1.5,"CONSUMO NO REVOLVENTE",0,1,NA,239.48,642.9,403.42,0,0,"Ica",4,34,0.5,940.5,4
88643,75.4615384615385,20,981,13,NA,0,0,0,0,0,0,0,0,126.26,0,67.56,0,2,1,"MENOR A 30","Soltero(a)","Hombre","sin hijos",307,22,0,13.1,1,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,0,NA,58.7,126.26,67.56,0,0,"Ica",1,33,2,752,4
88644,106.153846153846,20,1380,13,"SECUNDARIA COMPLETA",0,0,0,0,0,0,0,0,177.2,0,118.5,0,2,1,"DE 31 A 50","Soltero(a)","Hombre","sin hijos",307,36,0,46.65,1,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,9.86881720854759,58.7,177.2,118.5,0,0,"Ica",1,33,2,752,4
88645,84.6285714285714,20,2962,35,"SECUNDARIA COMPLETA",0,0,0,0,0,151.93,0,0,185.55,0,178.95,0,4,3,"MENOR A 30","Soltero(a)","Hombre","sin hijos",307,26,0,45.9,2,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,0,4.79582369048168,158.53,337.48,178.95,0,0,"Ica",3,31,1,773,4
88646,53.3846153846154,20,694,13,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,0,0,0,89.36,0,30.66,0,2,1,"MENOR A 30","Soltero(a)","Mujer","sin hijos",307,28,0,46.65,1,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,268.942131867696,58.7,89.36,30.66,0,1,"Ica",1,31,1,773,4
88647,81.9523809523809,20,1721,21,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,75.15,0,0,122.08,0,102.26,0,3,2,"MENOR A 30","Soltero(a)","Mujer","sin hijos",307,25,0,46.65,2,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,1178.76340038879,94.97,197.23,102.26,0,1,"Ica",2,34,1,769.5,4
88648,77.7706422018349,20,8477,109,NA,123.7,0,0,0,64.94,0,0,0,1107.39,0,799.23,44.77,7,5,"MENOR A 30","Soltero(a)","Hombre","sin hijos",307,19,0,46.65,3,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,0,NA,452.03,1296.03,799.23,0,0,"Ica",6,36.5,0,NA,4
88649,71.3846153846154,20,928,13,"PRIMARIA COMPLETA",0,0,0,0,0,0,0,0,119.45,0,60.74,0,2,1,"DE 31 A 50","Soltero(a)","Hombre","sin hijos",307,33,0,13.1,1,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,477.919049462651,58.71,119.45,60.74,0,0,"Ica",1,33,2,752,4
88650,56.9189189189189,20,2106,37,NA,0,0,0,0,0,100.05,0,0,140.84,0,73.37,0,4,3,"MENOR A 30","Soltero(a)","Hombre","sin hijos",307,20,0,45.9,2,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,0,NA,167.52,240.89,73.37,0,0,"Ica",3,37,1,773,4
88651,100,20,500,5,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,0,0,0,55.07,0,32.4,0,1,1,"DE 31 A 50","Casado(a)/conviviente/unionlibre","Hombre","sin hijos",307,36,0,43,1,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,14.5978942491848,22.67,55.07,32.4,0,0,"Ica",1,31,1,773,4
88652,41.8,20,209,5,"SECUNDARIA COMPLETA",0,0,0,0,0,0,0,0,25.97,0,3.3,0,1,1,"MENOR A 30","Soltero(a)","Mujer","sin hijos",307,23,0,43,1,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,229.058948169677,22.67,25.97,3.3,0,1,"Ica",1,33,2,752,4
88653,41,20,205,5,NA,0,0,0,0,0,0,0,0,25.58,0,2.91,0,1,1,"MENOR A 30","Soltero(a)","Hombre","sin hijos",307,19,0,43,1,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,0,NA,22.67,25.58,2.91,0,0,"Ica",1,33,2,752,4
88654,57.4,20,287,5,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,0,0,0,33.73,0,11.06,0,1,1,"MENOR A 30","Soltero(a)","Mujer","sin hijos",307,24,0,43,1,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,0,159.818050762903,22.67,33.73,11.06,0,1,"Ica",1,33,2,752,4
88655,149,20,745,5,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,0,0,0,78.88,0,56.21,0,1,1,"MENOR A 30","Soltero(a)","Hombre","sin hijos",307,30,0,43,1,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,170.743599048611,22.67,78.88,56.21,0,0,"Ica",1,31,1,773,4
88656,73.6133333333333,20,11042,150,"PRIMARIA COMPLETA",0,470.75,0,0,0,169.24,0,0,1093.11,0,1046.1,49.25,7,4,"DE 31 A 50","Soltero(a)","Mujer","con hijos",307,45,1,43,3,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,14.5978942491848,637.75,1733.1,1046.1,0,1,"Ica",8,38.5,0.5,NA,2
88657,49.1538461538462,20,639,13,"SECUNDARIA COMPLETA",0,0,0,0,0,0,0,0,82.14,0,23.43,0,2,1,"DE 31 A 50","Soltero(a)","Hombre","sin hijos",307,33,0,43,1,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,14.5978942491848,58.71,82.14,23.43,0,0,"Ica",1,33,2,752,4
88658,49.6,20,248,5,NA,0,0,0,0,0,0,0,0,29.87,0,7.2,0,1,1,"MENOR A 30","Soltero(a)","Hombre","sin hijos",307,20,0,46.65,1,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,0,NA,22.67,29.87,7.2,0,0,"Ica",1,33,2,752,4
88659,67.5121951219512,20,8304,123,"SECUNDARIA IMCOMPLETA",185.48,0,0,0,0,57.6,0,0,910.2,0,594.22,29.85,6,5,"MENOR A 30","Soltero(a)","Mujer","sin hijos",307,24,0,43,3,1,190,"0.NORMAL","0.NORMAL",1,"CONSUMO NO REVOLVENTE",0,1,198.404674363639,529.21,1153.28,594.22,0,1,"Ica",7,37,0,1108,2
88660,123.844660194175,20,6378,51.5,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,218.24,0,0,484.2,0,469.45,0,4,3,"MENOR A 30","Soltero(a)","Hombre","sin hijos",307,29,0,43,2,1,NA,"4.EN PERDIDA","4.EN PERDIDA",NA,NA,NA,1,255.650796785851,232.99,702.44,469.45,0,0,"Ica",5,37,0,922,4
88661,63.71,20,12742,200,"SECUNDARIA COMPLETA",0,425.77,0,0,0,0,0,0,1675.1,0,1188,49.26,7,3,"DE 31 A 50","Soltero(a)","Hombre","con hijos",62,40,1,45.9,2,1,3465.27,"0.NORMAL","0.NORMAL",2,"MICROEMPRESAS",0,1,4.79582369048168,831.72,2100.87,1219.89,0,0,"Ica",2,34.5,1,1729.5,2
88662,30.2,20,1510,50,"SECUNDARIA COMPLETA",0,159.49,0,0,0,42.23,0,0,110.93,0,60.68,0,3,3,"MENOR A 30","Soltero(a)","Mujer","sin hijos",307,23,0,46.65,3,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,0,868.554964911308,260.02,320.7,52.63,8.05,1,"Ica",4,27.5,0,1097.5,4
88663,20.4761904761905,20,430,21,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,0,0,0,95.05,0,0,0,1,1,"MENOR A 30","Soltero(a)","Mujer","sin hijos",307,23,0,43,1,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,0,6.20121397573128,95.05,95.05,0,0,1,"Ica",1,27,1,594,4
88664,56.2251082251082,20,12988,231,"PRIMARIA COMPLETA",0,2121.53,0,0,0,114.14,0,0,782.35,0,1946.3,16.42,8,6,"DE 31 A 50","Soltero(a)","Mujer","con hijos",307,32,1,13.1,3,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,11.07115513268,1055.3,3018.02,1946.3,0,1,"Ica",5,30,0,NA,2
88665,48.3279352226721,20,11937,247,"SUPERIOR - TECNICO",0,1755.67,0,36.18,0,119.34,0,0,688.28,0,1455.39,16.42,9,7,"DE 31 A 50","Soltero(a)","Hombre","con hijos",307,37,1,13.1,4,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,6.05239151999867,1127.66,2599.47,1455.39,0,0,"Ica",5,30,0,NA,2
88666,56.3736263736264,20,10260,182,"SECUNDARIA COMPLETA",0,1870.33,0,0,0,72.47,0,0,524.42,0,1623.42,14.92,6,4,"DE 31 A 50","Soltero(a)","Mujer","con hijos",307,38,1,13.9,3,1,7202.58,"0.NORMAL","0.NORMAL",1.67,"CONSUMO REVOLVENTE",0,1,5.92314046776367,828.88,2467.22,1623.42,0,1,"Ica",5,32,1,NA,2
88667,16.8,20,168,10,"SECUNDARIA IMCOMPLETA",0,22.67,0,0,0,0,0,0,22.67,0,0,0,2,2,"DE 31 A 50","Soltero(a)","Hombre","sin hijos",307,36,0,46.65,2,1,7642.84,"2.DEFICIENTE","0.NORMAL",4,"CONSUMO REVOLVENTE",7.63,1,728.643376745823,45.34,45.34,0,0,0,"Ica",2,31,1.5,636.5,4
88668,36.5405405405405,20,2704,74,"SECUNDARIA COMPLETA",0,379.25,0,0,0,85.25,0,0,111.91,0,217.65,0,3,3,"MENOR A 30","Soltero(a)","Mujer","sin hijos",307,30,0,46.65,3,1,NA,"4.EN PERDIDA","4.EN PERDIDA",NA,NA,NA,1,931.966547217223,358.76,576.41,217.65,0,1,"Ica",4,27.5,0,1097.5,4
88669,89,20,445,5,NA,0,0,0,0,0,0,0,0,49.36,0,26.68,0,2,1,"MENOR A 30","Soltero(a)","Mujer","sin hijos",307,23,0,13.9,1,1,870.85,"0.NORMAL","0.NORMAL",1.17,"CONSUMO REVOLVENTE",0.18,1,NA,22.68,49.36,26.68,0,1,"Ica",1,27,1,594,4
88670,57.4634146341463,20,1178,20.5,NA,0,0,0,0,0,85.85,0,0,24.17,0,17.34,0,2,2,"MENOR A 30","Soltero(a)","Mujer","sin hijos",307,20,0,46.65,2,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,0,NA,92.68,110.02,17.34,0,1,"Ica",2,29.5,0.5,1476.5,4
88671,18.8888888888889,20,85,4.5,NA,0,0,0,0,0,0,0,0,20.4,0,0,0,1,1,"MENOR A 30","Soltero(a)","Mujer","sin hijos",307,18,0,43,1,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,0,NA,20.4,20.4,0,0,1,"Ica",1,34,2,757,4
88672,15.5555555555556,20,70,4.5,NA,0,0,0,0,0,0,0,0,20.4,0,0,0,1,1,"MENOR A 30","Soltero(a)","Mujer","sin hijos",307,18,0,43,1,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,0,NA,20.4,20.4,0,0,1,"Ica",1,34,2,757,4
88673,45.4615384615385,20,591,13,"SECUNDARIA COMPLETA",0,0,0,0,0,0,0,0,76.12,0,17.42,0,1,1,"MENOR A 30","Soltero(a)","Mujer","sin hijos",307,28,0,45.9,1,1,971.18,"3.DUDOSO","3.DUDOSO",1,"CONSUMO REVOLVENTE",48,1,8.50119030967158,58.7,76.12,17.42,0,1,"Ica",1,42,1,1499,4
88675,33.2278260869565,20,9553,287.5,"SECUNDARIA IMCOMPLETA",0,925.26,0,586.68,0,0,0,0,589.08,0,811.37,0,9,6,"MENOR A 30","Soltero(a)","Mujer","con hijos",62,29,1,13.9,3,1,11859.34,"0.NORMAL","0.NORMAL",3,"MICROEMPRESAS",0,1,71.0907942907481,1289.65,2101.02,811.37,0,1,"Ica",5,34,1,1049,3
88676,35.8,20,179,5,"SECUNDARIA COMPLETA",0,0,0,0,0,0,0,0,22.04,0,5.61,0,1,1,"DE 31 A 50","Soltero(a)","Hombre","sin hijos",307,32,0,13.9,1,1,3325.83,"1.CPP","0.NORMAL",2,"CONSUMO NO REVOLVENTE",2.42,1,53.1848218877654,16.43,22.04,5.61,0,0,"Ica",1,42,1,1499,4
88677,27.5555555555556,20,124,4.5,NA,0,0,0,0,0,0,0,0,20.4,0,0,0,1,1,"MENOR A 30","Soltero(a)","Hombre","sin hijos",307,22,0,43,1,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,0,NA,20.4,20.4,0,0,0,"Ica",1,34,2,757,4
88678,44.64,20,558,12.5,"SECUNDARIA COMPLETA",0,0,0,0,0,0,0,0,75.58,0,19.13,0,1,1,"MENOR A 30","Soltero(a)","Hombre","sin hijos",307,25,0,43,1,1,NA,"4.EN PERDIDA","4.EN PERDIDA",NA,NA,NA,1,426.860338352414,56.45,75.58,19.13,0,0,"Ica",2,35.5,2,1666,4
88679,72.24,20,903,12.5,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,0,0,0,114.09,0,57.64,0,1,1,"MENOR A 30","Soltero(a)","Mujer","sin hijos",307,29,0,43,1,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,0,127.695316131257,56.45,114.09,57.64,0,1,"Ica",2,35.5,2,1666,4
88680,44.282722513089,20,4229,95.5,"SECUNDARIA COMPLETA",0,1069.92,0,0,0,0,0,0,99.35,0,736.11,14.92,3,2,"DE 31 A 50","Soltero(a)","Hombre","sin hijos",307,33,0,43,2,1,1605.46,"0.NORMAL","0.NORMAL",1.5,"MICROEMPRESAS",0,1,13.3415888721868,418.24,1169.27,736.11,0,0,"Ica",4,35,1.5,862,4
88681,20.2222222222222,20,91,4.5,NA,0,0,0,0,0,0,0,0,20.4,0,0,0,1,1,"MENOR A 30","Soltero(a)","Mujer","sin hijos",307,19,0,43,1,1,1547.95,"0.NORMAL","0.NORMAL",1,"MICROEMPRESAS",0.67,1,NA,20.4,20.4,0,0,1,"Ica",1,34,2,757,4
88682,54.1230769230769,20,3518,65,"SECUNDARIA COMPLETA",126.98,0,0,0,0,0,0,0,363.83,0,194.07,29.84,4,3,"DE 31 A 50","Soltero(a)","Mujer","sin hijos",307,33,0,13.1,2,1,24658.74,"0.NORMAL","0.NORMAL",3.17,"MICROEMPRESAS",0,1,6.05239151999867,266.9,490.81,194.07,0,1,"Ica",4,44,0,2169.5,4
88683,84.0909090909091,20,925,11,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,0,0,0,108.38,0,58.7,0,2,1,"MENOR A 30","Soltero(a)","Hombre","sin hijos",307,29,0,13.1,1,1,2058.36,"0.NORMAL","0.NORMAL",1,"MICROEMPRESAS",0,1,727.156812822217,49.68,108.38,58.7,0,0,"Ica",2,39,2,NA,4
88684,59.0909090909091,20,650,11,NA,0,0,0,0,0,0,0,0,68.94,0,19.19,0,2,1,"MENOR A 30","Soltero(a)","Hombre","sin hijos",307,22,0,46.65,1,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,NA,49.75,68.94,19.19,0,0,"Ica",2,39,2,NA,4
88685,41.2480620155039,20,5321,129,"SECUNDARIA IMCOMPLETA",0,953.37,0,0,0,0,0,0,288.47,0,639.21,0,5,3,"DE 31 A 50","Soltero(a)","Mujer","sin hijos",307,47,0,44.55,2,1,1930.83,"0.NORMAL","0.NORMAL",1.33,"CONSUMO NO REVOLVENTE",0,1,13.3415888721868,602.63,1241.84,639.21,0,1,"Ica",5,36,1,NA,2
88686,29.3333333333333,20,88,3,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,0,0,0,13.61,0,0,0,1,1,"MENOR A 30","Soltero(a)","Hombre","sin hijos",307,26,0,44.55,1,1,9517.76,"0.NORMAL","0.NORMAL",1.5,"CONSUMO NO REVOLVENTE",0,1,13.3415888721868,13.61,13.61,0,0,0,"Ica",1,36,1,967,4
88687,56.5357142857143,20,1583,28,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,0,0,0,208.78,0,82.03,0,2,1,"MENOR A 30","Soltero(a)","Hombre","sin hijos",307,28,0,44.55,1,1,4038.21,"0.NORMAL","0.NORMAL",1,"CONSUMO NO REVOLVENTE",0,1,29.5882907462825,126.75,208.78,82.03,0,0,"Ica",2,26.5,0.5,729,4
88688,43.6153846153846,20,567,13,"SECUNDARIA COMPLETA",0,0,0,0,0,0,0,0,78,0,19.3,0,2,1,"DE 31 A 50","Soltero(a)","Hombre","sin hijos",307,31,0,43,1,1,3619.63,"4.EN PERDIDA","3.DUDOSO",2,"CONSUMO NO REVOLVENTE",93.96,1,11.07115513268,58.7,78,19.3,0,0,"Ica",1,22,0,922,4
88689,51.5862068965517,20,1496,29,"SECUNDARIA COMPLETA",0,0,0,0,0,0,0,0,207.89,0,76.65,0,2,1,"DE 31 A 50","Soltero(a)","Hombre","sin hijos",307,32,0,44.55,1,1,40142.61,"3.DUDOSO","3.DUDOSO",6,"CONSUMO NO REVOLVENTE",22.26,1,187.894078592614,131.24,207.89,76.65,0,0,"Ica",1,22,0,922,4
88690,56.7931034482759,20,1647,29,"SECUNDARIA COMPLETA",0,0,0,0,0,0,0,0,223.62,0,92.38,0,2,1,"DE 31 A 50","Soltero(a)","Mujer","sin hijos",307,47,0,44.55,1,1,6056.43,"0.NORMAL","0.NORMAL",2,"CONSUMO NO REVOLVENTE",0,1,13.3415888721868,131.24,223.62,92.38,0,1,"Ica",1,22,0,922,4
88691,74.7323943661972,20,2653,35.5,"SECUNDARIA IMCOMPLETA",281.21,0,0,0,0,0,0,0,76.01,0,196.62,0,3,2,"DE 31 A 50","Soltero(a)","Mujer","sin hijos",307,35,0,44.55,2,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,13.3415888721868,160.6,357.22,196.62,0,1,"Ica",2,29.5,0.5,844,4
88692,119.983606557377,20,7319,61,"SECUNDARIA IMCOMPLETA",717.34,0,0,0,0,134.5,0,0,76.79,0,625.44,14.92,4,3,"DE 31 A 50","Soltero(a)","Mujer","sin hijos",307,33,0,44.55,3,1,901.38,"1.CPP","0.NORMAL",1,"CONSUMO NO REVOLVENTE",5.63,1,13.3415888721868,288.27,928.63,625.44,0,1,"Ica",3,27,0,922,4
88693,34.4,20,86,2.5,NA,0,0,0,0,0,0,0,0,11.34,0,0,0,1,1,"MENOR A 30","Soltero(a)","Hombre","sin hijos",307,19,0,13.9,1,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,0,NA,11.34,11.34,0,0,0,"Ica",1,22,0,922,4
