"data_Persona","data_productividad_per","data_Tcamp","data_sumCOD","data_sumHRSLB","data_GRADO2","data_sum_variedad_total_AL","data_sum_variedad_total_CC","data_sum_variedad_total_CP","data_sum_variedad_total_JS","data_sum_variedad_total_MG","data_sum_variedad_total_RG","data_sum_variedad_total_SG","data_sum_variedad_total_TC","data_sum_variedad_total_TM","data_sum_variedad_total_VN","data_sum_aux_bono_total","data_sum_hora_extra","data_n_lote","data_n_fundo","data_T_RangoEdad","data_Testado_civil","data_Tsexo","data_T_numero_hijos","data_dias_empresa","data_Tedad","data_numero_hijos","data_pobreza","data_n_variedad","data_veces","data_DEUDA_PROM_U6M","data_PEOR_CALIF_U6M","data_MODA_CALIF_U6M","data_NRO_ENT_PROM_U6M","data_TIPCRE_UM","data_DIAS_ATRASO_PROM_U6M","data_BANCARIZADO","data_distancia","data_import_unico","data_total","data_bono_produc","data_otros_bono","dummies_Tsexo_Mujer","sede_cod","data_numero_asistentes","data_asistente_mediana_Tedad","data_asistente_mediana_numero_hijos","data_asistente_dias_empresa","cluster"
395,189.960705357143,19,15196.8564285714,80,"SUPERIOR - TECNICO",0,0,0,0,0,0,0,0,453.8,0,113.07,0,4,1,"MAS DE 50","Soltero(a)","Hombre","sin hijos",4077,56,0,43,1,2,65111.91,"0.NORMAL","0.NORMAL",2,"CONSUMO NO REVOLVENTE",0,1,6.20121397573128,405.88,518.95,47.92,65.15,0,"Ica",3,40,1,2865,1
396,346.377777777777,19,11084.0888888889,32,"SECUNDARIA COMPLETA",0,0,0,0,0,202.43,0,0,0,0,40.06,0,1,1,"DE 31 A 50","Soltero(a)","Hombre","con hijos",4413,48,1,13.9,1,4,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,5.92314046776367,162.37,202.43,40.06,0,0,"Ica",2,45,0,NA,1
398,249.435185185185,19,11972.8888888889,48,"SUPERIOR - TECNICO",0,0,0,0,0,260.77,0,0,0,0,17.25,0,1,1,"MAS DE 50","Soltero(a)","Hombre","sin hijos",4078,60,0,41.25,1,1,2440.36,"0.NORMAL","0.NORMAL",1.5,"CONSUMO NO REVOLVENTE",0,1,6.05239151999867,243.52,260.77,17.25,0,0,"Ica",3,34,2,NA,1
404,91.2,20,1368,15,"SECUNDARIA COMPLETA",0,0,0,0,0,134.37,0,0,0,0,0,134.37,4,1,"DE 31 A 50","Soltero(a)","Hombre","sin hijos",4413,38,0,45.9,1,3,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,4.79582369048168,0,134.37,0,0,0,"Ica",5,32,0,1851,1
408,65.8345683534572,19,3851.32224867725,58.5,"SECUNDARIA COMPLETA",0,0,0,0,0,0,0,0,816.82,0,369.4,0,5,1,"DE 31 A 50","Soltero(a)","Hombre","sin hijos",4411,37,0,45.9,1,4,6242.55,"0.NORMAL","0.NORMAL",2,"CONSUMO NO REVOLVENTE",0,1,4.79582369048168,447.42,816.82,369.4,0,0,"Ica",2,31.5,0.5,1984,1
417,474.335,19,1423.005,3,"SECUNDARIA COMPLETA",0,0,0,0,14.66,0,0,0,0,0,5.99,0,1,1,"DE 31 A 50","Soltero(a)","Hombre","sin hijos",4408,36,0,45.9,1,4,22132.65,"0.NORMAL","0.NORMAL",1,"CONSUMO NO REVOLVENTE",0,1,4.79582369048168,14.59,20.58,0.07,5.92,0,"Ica",1,57,0,3929,1
417,34.1538461538462,20,444,13,"SECUNDARIA COMPLETA",0,75.28,0,0,0,0,0,0,87.33,0,31.21,0,2,2,"DE 31 A 50","Soltero(a)","Hombre","sin hijos",4408,37,0,45.9,2,4,41561.99,"0.NORMAL","0.NORMAL",1.83,"CONSUMO NO REVOLVENTE",0,1,4.79582369048168,162.61,193.82,0,31.21,0,"Ica",2,35,1,NA,1
443,139.253525747238,19,31749.8038703704,228,"SECUNDARIA COMPLETA",415.82,74.09,161.05,141.04,0,1585.17,0,0,2516.9,0,3484.91,43.58,18,7,"DE 31 A 50","Soltero(a)","Hombre","con hijos",141,33,1,45.9,6,4,4594.69,"1.CPP","0.NORMAL",2.17,"MICROEMPRESAS",4.79,1,4.79582369048168,1365.58,4894.07,3484.91,0,0,"Ica",9,41,0,NA,3
443,110.449275362319,20,38105,345,"SECUNDARIA COMPLETA",0,1937.51,0,66.91,0,162.91,0,0,4364.56,0,4946.45,114.92,14,7,"DE 31 A 50","Soltero(a)","Hombre","con hijos",80,34,1,45.9,4,4,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,4.79582369048168,1344.97,6531.89,5072,0,0,"Ica",8,38.5,0.5,NA,3
447,139.446487974988,19,9203.4682063492,66,"PRIMARIA COMPLETA",0,0,0,0,66.79,551.94,0,0,0,0,166.97,0,6,2,"MAS DE 50","Soltero(a)","Hombre","sin hijos",3996,62,0,41.25,2,3,NA,"4.EN PERDIDA","4.EN PERDIDA",NA,NA,NA,1,2.69268693119756,513.89,680.86,104.84,62.13,0,"Ica",4,38,1.5,NA,1
491,17.4442731481481,19,418.662555555556,24,"SECUNDARIA COMPLETA",0,69.42,0,0,0,0,37.04,0,0,0,57.8,0,2,2,"DE 31 A 50","Soltero(a)","Mujer","sin hijos",4067,48,0,13.9,2,4,986.92,"0.NORMAL","0.NORMAL",1,"CONSUMO NO REVOLVENTE",0,1,83.837043914402,106.46,164.26,0,57.8,1,"Ica",2,41.5,0.5,3455.5,1
491,42,20,630,15,"SECUNDARIA COMPLETA",0,0,0,0,0,0,0,0,74.62,0,0,74.62,2,1,"DE 31 A 50","Soltero(a)","Mujer","sin hijos",4067,49,0,13.9,1,4,1000,"0.NORMAL","0.NORMAL",1,"CONSUMO NO REVOLVENTE",0,1,83.837043914402,0,74.62,0,0,1,"Ica",3,NA,NA,NA,1
497,20.3333333333333,20,244,12,"SECUNDARIA COMPLETA",116.84,0,0,0,0,111.97,0,0,0,0,17.97,0,2,2,"DE 31 A 50","Soltero(a)","Hombre","sin hijos",4063,36,0,45.9,2,3,37887.91,"0.NORMAL","0.NORMAL",1,"CONSUMO NO REVOLVENTE",0,1,4.79582369048168,227.09,245.06,1.72,16.25,0,"Ica",2,32.5,1,1459,1
500,104.436772764273,19,26474.7218957431,253.5,"SECUNDARIA COMPLETA",0,655.28,182.21,444.7,531.36,1606.15,0,0,439.08,0,2293.25,78.17,15,7,"DE 31 A 50","Soltero(a)","Hombre","con hijos",123,35,1,41.25,6,3,881.01,"4.EN PERDIDA","4.EN PERDIDA",1,"CONSUMO NO REVOLVENTE",1866.5,1,2.69268693119756,1487.36,3858.78,2293.25,0,0,"Ica",3,33,1,NA,3
520,188.044612268518,19,18052.2827777778,96,"PRIMARIA COMPLETA",0,0,0,0,0,703,0,0,0,0,229.8,0,4,1,"DE 31 A 50","Soltero(a)","Hombre","sin hijos",4042,43,0,45.9,1,5,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,4.79582369048168,473.2,703,229.8,0,0,"Ica",4,28,0,NA,1
520,65.6067415730337,20,5839,89,"PRIMARIA COMPLETA",0,0,0,0,0,887.38,0,0,0,0,415.77,0,5,1,"DE 31 A 50","Soltero(a)","Hombre","sin hijos",4042,44,0,45.9,1,5,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,4.79582369048168,479.36,895.13,408.02,7.75,0,"Ica",4,33.5,0.5,NA,1
535,45.25,20,543,12,"SUPERIOR - TECNICO",0,0,0,0,0,117.66,0,0,0,0,0,117.66,1,1,"DE 31 A 50","Soltero(a)","Mujer","sin hijos",4004,44,0,13.9,1,3,22796.23,"0.NORMAL","0.NORMAL",2,"CONSUMO NO REVOLVENTE",0,1,5.92314046776367,0,117.66,0,0,1,"Ica",3,38,0,NA,1
540,36.6263492063492,19,73.2526984126984,2,"PRIMARIA COMPLETA",0,0,0,0,0,18.5,0,0,0,0,8.76,0,1,1,"DE 31 A 50","Soltero(a)","Hombre","con hijos",3986,38,1,41.25,1,2,6412.46,"0.NORMAL","0.NORMAL",2,"CONSUMO REVOLVENTE",0,1,2.69268693119756,18.5,27.26,0,8.76,0,"Ica",1,NA,NA,NA,1
541,69.1428571428571,20,484,7,"SUPERIOR - TECNICO",0,0,0,0,0,0,0,0,158.68,0,8.77,0,1,1,"DE 31 A 50","Soltero(a)","Mujer","sin hijos",3986,41,0,45.9,1,2,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,21.5942077912274,158.68,167.45,0,8.77,1,"Ica",1,43,0,5232,1
559,123.726875,19,3464.3525,28,"SECUNDARIA COMPLETA",0,0,0,0,77.65,0,0,92.55,0,0,76.09,0,2,2,"MAS DE 50","Casado(a)/conviviente/unionlibre","Hombre","sin hijos",3929,57,0,45.9,2,2,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,6.05239151999867,151.71,227.8,18.49,57.6,0,"Ica",2,34.5,0,3276.5,1
568,25,20,75,3,"SECUNDARIA COMPLETA",0,0,0,0,0,14.92,0,0,0,0,0,14.92,1,1,"DE 31 A 50","Soltero(a)","Mujer","sin hijos",3891,35,0,45.9,1,3,5186.42,"0.NORMAL","0.NORMAL",1.33,"CONSUMO REVOLVENTE",0,1,4.79582369048168,0,14.92,0,0,1,"Ica",1,39,0,NA,1
570,48.1492537313433,20,1613,33.5,"SECUNDARIA COMPLETA",90.2,0,0,0,152.66,72.12,0,0,72.11,0,235.59,0,6,4,"DE 31 A 50","Soltero(a)","Hombre","con hijos",280,36,3,13.9,4,1,NA,"4.EN PERDIDA","4.EN PERDIDA",NA,NA,NA,1,5.92314046776367,151.5,387.09,235.59,0,0,"Ica",1,37,0,4408,4
